bar_id	bar_pass	bar_type	bar_type_text	unique_id	node_id	Lon	Lat	Lon_m	Lat_m
957	0.8	1	Culvert	xy4256749172592144	1331	-72.59214095	42.56749823	1890790.671	2408418.889
958	0.3	1	Culvert	xy4257126472587586	2796	-72.58758316	42.57126474	1891048.675	2408917.893
959	0.3	1	Culvert	xy4257098272587467	2795	-72.5874642	42.57098209	1891065.794	2408889.619
960	0.8	1	Culvert	xy4253333672602482	2395	-72.60248157	42.53334447	1890902.848	2404510.479
961	0.8	1	Culvert	xy4252988472603087	2687	-72.60308559	42.52989321	1890949.051	2404124.289
962	0.3	1	Culvert	xy4254112072598869	1098	-72.59887242	42.54112715	1890976.537	2405426.049
963	0.7	1	Culvert	xy4251854672606311	998	-72.60631184	42.51855483	1891002.462	2402830.811
964	-1	1	Culvert	xy4251431472605671	1004	-72.60567023	42.51432231	1891168.577	2402384.692
965	0.4	1	Culvert	xy4254233072593451	1100	-72.59345134	42.54233968	1891372.658	2405665.383
966	0.5	1	Culvert	xy4255994172585627	1327	-72.58562409	42.55994151	1891512.403	2407729.372
967	-1	1	Culvert	xy4255097572610406	2950	-72.6104094	42.55098241	1889794.76	2406265.01
968	-1	1	Culvert	xy4255110472609866	2949	-72.60986995	42.55111186	1889833.936	2406289.771
969	0.8	1	Culvert	xy4251849972619136	920	-72.61914104	42.51849783	1889987.995	2402569.42
970	0.6	1	Culvert	xy4255418372606369	2948	-72.60637538	42.55418676	1890026.798	2406692.632
971	-1	1	Culvert	xy4251949472616830	41	-72.61683985	42.51950818	1890142.731	2402724.732
972	0.7	1	Culvert	xy4253563472610786	294	-72.610789	42.53563391	1890182.731	2404593.429
973	0.7	1	Culvert	xy4253223672611187	293	-72.61118265	42.5322428	1890243.921	2404217.941
974	0.7	1	Culvert	xy4253829672607941	1431	-72.60794113	42.5383048	1890335.461	2404939.645
975	-1	1	Culvert	xy4255220472600359	2309	-72.60036006	42.55220375	1890556.961	2406597.298
976	0.8	1	Culvert	xy4255280672599714	1895	-72.59971407	42.55281538	1890591.428	2406676.456
977	-1	1	Culvert	xy4255245972599251	1894	-72.59924869	42.55245911	1890637.973	2406647.092
978	0.9	1	Culvert	xy4252247472608311	2888	-72.60831761	42.52247204	1890736.916	2403215.603
979	0.8	1	Culvert	xy4253819772602865	1430	-72.60286364	42.53820544	1890740.162	2405029.881
980	0.9	1	Culvert	xy4256029672595244	2912	-72.59523855	42.56030007	1890741.706	2407576.918
981	0.9	1	Culvert	xy4256021572595026	2910	-72.59502627	42.56022348	1890760.593	2407572.838
982	0.4	1	Culvert	xy4252356072607312	2401	-72.60731708	42.52357008	1890786.237	2403354.558
983	0.6	1	Culvert	xy4254117472600230	1097	-72.60023541	42.54118264	1890867.121	2405404.945
984	0.6	1	Culvert	xy4254115972600040	1096	-72.60001079	42.54116545	1890885.372	2405407.55
985	0.6	1	Culvert	xy4253739872826663	2223	-72.82663701	42.53731679	1873042.48	2400502.244
